Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
150242	0.013653	0.001818	0.005310	0.000938	-10422.934
150244	0.014583	0.001942	0.005787	0.000982	-10444.718
150246	0.017991	0.002396	0.007140	0.001212	-10431.238
150248	0.017991	0.002396	0.007040	0.001212	-10446.697
150250	0.017991	0.002396	0.007040	0.001212	-10442.924
150252	0.017991	0.002396	0.007040	0.001212	-10436.224
150254	0.021475	0.002860	0.008403	0.001446	-10407.939
150256	0.019014	0.002533	0.007440	0.001281	-10442.396
150258	0.020664	0.002764	0.008121	0.001398	-10443.166
150260	0.021246	0.002764	0.008121	0.001398	-10431.930
150262	0.019367	0.002520	0.007403	0.001274	-10442.970
150264	0.017428	0.002268	0.006662	0.001147	-10417.953
150266	0.017428	0.002268	0.007107	0.001147	-10438.622
150268	0.017428	0.002268	0.007107	0.001147	-10428.023
150270	0.017384	0.002974	0.007088	0.001144	-10453.325
150272	0.018008	0.003081	0.006832	0.001185	-10431.342
150274	0.017699	0.003028	0.006715	0.001165	-10439.646
150276	0.020756	0.003434	0.007614	0.001321	-10446.882
150278	0.021133	0.003496	0.007519	0.001386	-10401.587
150280	0.021133	0.003496	0.007519	0.001386	-10409.774
150282	0.018156	0.003004	0.005788	0.001191	-10422.665
150284	0.018791	0.002822	0.006213	0.001279	-10408.919
150286	0.018118	0.002721	0.005275	0.001233	-10403.017
150288	0.019915	0.002991	0.006739	0.001303	-10399.386
150290	0.019915	0.002991	0.006739	0.001303	-10389.846
150292	0.018083	0.002716	0.006119	0.001183	-10405.104
150294	0.018083	0.002716	0.005816	0.001245	-10402.749
150296	0.021123	0.003022	0.007341	0.001385	-10413.442
150298	0.023174	0.003315	0.008108	0.001520	-10390.733
150300	0.019726	0.002822	0.006225	0.001293	-10414.497
150302	0.020951	0.002997	0.006612	0.001374	-10432.887
150304	0.023852	0.003412	0.007528	0.001564	-10424.060
150306	0.024537	0.003510	0.007744	0.001609	-10429.279
150308	0.024537	0.003510	0.007744	0.001609	-10426.228
150310	0.024537	0.003510	0.007744	0.001609	-10450.187
150312	0.024537	0.003510	0.007744	0.001609	-10453.715
150314	0.024675	0.003530	0.007787	0.001618	-10448.299
150316	0.018826	0.002568	0.005942	0.001234	-10445.234
150318	0.021821	0.002977	0.006887	0.001431	-10457.301
150320	0.021821	0.002356	0.006803	0.001349	-10459.926
150322	0.023472	0.003021	0.007263	0.001462	-10442.686
150324	0.023472	0.003021	0.007263	0.001462	-10417.098
150326	0.023472	0.003021	0.007263	0.001462	-10434.295
150328	0.023472	0.002745	0.007263	0.001462	-10413.913
150330	0.023454	0.002743	0.007128	0.001487	-10410.860
150332	0.023454	0.002743	0.007278	0.001457	-10401.535
150334	0.023454	0.002743	0.007278	0.001457	-10402.976
150336	0.021372	0.002564	0.006803	0.001362	-10401.333
150338	0.018728	0.002246	0.004637	0.001193	-10405.986
150340	0.018728	0.002246	0.004637	0.001193	-10415.755
150342	0.022261	0.002670	0.005512	0.001418	-10427.897
150344	0.020728	0.002486	0.005133	0.001321	-10413.622
150346	0.018736	0.002247	0.004640	0.001194	-10424.640
150348	0.018736	0.002247	0.004093	0.001353	-10402.157
150350	0.019304	0.002247	0.004313	0.001284	-10402.652
150352	0.019304	0.002247	0.004313	0.001284	-10408.117
150354	0.019304	0.002247	0.004218	0.001313	-10444.365
150356	0.019304	0.002247	0.004218	0.001313	-10425.642
150358	0.019304	0.002247	0.004218	0.001313	-10435.686
150360	0.019304	0.002294	0.004773	0.001160	-10412.827
150362	0.018726	0.002294	0.004773	0.001160	-10403.704
150364	0.017943	0.002198	0.004185	0.001215	-10417.998
150366	0.017943	0.002198	0.004185	0.001215	-10426.113
150368	0.018363	0.002243	0.004271	0.001240	-10429.544
150370	0.018363	0.002243	0.004271	0.001240	-10426.862
150372	0.018363	0.002243	0.005290	0.001240	-10429.584
150374	0.015153	0.001880	0.004525	0.001060	-10430.341
150376	0.018387	0.002355	0.005668	0.001328	-10419.643
150378	0.017627	0.002257	0.005434	0.001274	-10414.426
150380	0.017113	0.002192	0.005275	0.001236	-10443.947
150382	0.017353	0.002222	0.005349	0.001254	-10419.101
150384	0.017353	0.002222	0.005349	0.001254	-10407.968
150386	0.017353	0.002222	0.005564	0.001205	-10445.275
150388	0.017353	0.002222	0.005564	0.001205	-10420.401
150390	0.015500	0.002067	0.005176	0.001121	-10428.488
150392	0.015500	0.002067	0.005176	0.001121	-10418.357
150394	0.014816	0.002075	0.005195	0.001126	-10430.259
150396	0.013023	0.001824	0.004567	0.000989	-10431.794
150398	0.014260	0.001997	0.004920	0.001101	-10414.994
150400	0.014260	0.001997	0.004920	0.001101	-10434.337
150402	0.014260	0.001997	0.004920	0.001101	-10390.563
150404	0.014918	0.001997	0.004920	0.001101	-10411.895
150406	0.016053	0.002149	0.005294	0.001185	-10423.080
150408	0.016053	0.002149	0.005055	0.001241	-10425.470
150410	0.016730	0.002149	0.005055	0.001241	-10396.198
150412	0.016988	0.002182	0.005133	0.001260	-10411.723
150414	0.015949	0.002049	0.004819	0.001183	-10404.396
150416	0.015513	0.002049	0.005538	0.001183	-10417.542
150418	0.015513	0.002049	0.005538	0.001183	-10415.779
150420	0.017832	0.002355	0.006365	0.001360	-10385.694
150422	0.018384	0.002355	0.006365	0.001360	-10400.353
150424	0.018384	0.002355	0.005906	0.001360	-10401.133
150426	0.018384	0.002355	0.006397	0.001360	-10396.003
150428	0.018384	0.002355	0.005466	0.001360	-10408.935
150430	0.018053	0.002355	0.005466	0.001360	-10401.743
150432	0.018090	0.002360	0.004822	0.001363	-10398.278
