Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
186872	0.006569	0.015465	0.001782	0.004208	0.006716	0.001568	0.000590	-10452.680
186874	0.006969	0.017290	0.001992	0.004771	0.007320	0.001737	0.000677	-10438.207
186876	0.006969	0.017526	0.001992	0.005001	0.007562	0.001757	0.000675	-10452.512
186878	0.006969	0.017526	0.001992	0.004961	0.007182	0.001766	0.000676	-10436.169
186880	0.006969	0.017700	0.001992	0.004839	0.007234	0.001793	0.000671	-10404.769
186882	0.006059	0.015388	0.001732	0.004234	0.006273	0.001553	0.000585	-10406.796
186884	0.006059	0.015388	0.001375	0.004231	0.006297	0.001553	0.000582	-10411.755
186886	0.005869	0.015505	0.001386	0.004335	0.006452	0.001549	0.000577	-10439.041
186888	0.005716	0.015505	0.001386	0.004361	0.006353	0.001543	0.000586	-10436.513
186890	0.006338	0.016659	0.001489	0.004399	0.006525	0.001668	0.000623	-10430.188
186892	0.005920	0.015560	0.001390	0.004146	0.006095	0.001549	0.000582	-10437.340
186894	0.005089	0.013376	0.001195	0.003629	0.005558	0.001317	0.000499	-10450.846
186896	0.005089	0.013511	0.001195	0.003602	0.005359	0.001323	0.000518	-10426.253
186898	0.005089	0.013174	0.001195	0.003530	0.005252	0.001340	0.000528	-10423.346
186900	0.005089	0.012871	0.001398	0.003487	0.005272	0.001350	0.000526	-10411.448
186902	0.005089	0.012871	0.001398	0.003489	0.005018	0.001349	0.000522	-10411.764
186904	0.004835	0.012871	0.001398	0.003556	0.005163	0.001334	0.000507	-10407.668
186906	0.004835	0.012871	0.001398	0.003608	0.005135	0.001322	0.000510	-10427.745
